DeLa,Id,PinaLa,Tip,Zile,RestrictiiTren_Id
"20141214","1","20151212","Da","16767",249
"20141214","1","20151212","Da","16767",250
"20141214","1","20151212","Da","16767",251
"20141214","1","20151212","Da","16767",252
"20141214","1","20151212","Da","16767",253
"20141214","1","20151212","Da","16767",254
"20141214","1","20151212","Da","16767",255
"20150613","1","20150912","Da","383",256
"20141214","1","20151212","Da","831",257
"20141214","1","20151212","Da","16767",258
"20141214","1","20151212","Da","16767",259
"20141214","1","20141224","Da","319",260
"20141227","2","20141231","Da","319",260
"20150103","3","20150412","Da","319",260
"20150414","4","20150430","Da","319",260
"20150502","5","20150531","Da","319",260
"20150602","6","20150814","Da","319",260
"20150816","7","20151129","Da","319",260
"20151202","8","20151212","Da","319",260
"20141214","1","20151212","Da","16767",261
"20141214","1","20151212","Da","16767",262
"20141214","1","20151212","Da","16767",263
"20141214","1","20151212","Da","16767",264
"20141214","1","20151212","Da","16767",265
"20141214","1","20151212","Da","16767",266
"20141214","1","20151212","Da","16767",267
"20141214","1","20151212","Da","16767",268
"20141214","1","20151212","Da","16767",269
"20141214","1","20151212","Da","16767",270
"20141214","1","20151212","Da","16767",271
"20141214","1","20151212","Da","16767",272
"20141214","1","20151212","Da","16767",273
"20141214","1","20151212","Da","16767",274
"20141214","1","20151212","Da","16767",275
"20141214","1","20151212","Da","799",276
"20141214","1","20151212","Da","16767",277
"20141214","1","20151212","Da","16767",278
"20141214","1","20151212","Da","16767",279
"20141214","1","20151212","Da","16767",280
"20141214","1","20151212","Da","16767",281
"20141214","1","20151212","Da","16767",282
"20141214","1","20151212","Da","16767",283
"20141214","1","20151212","Da","16767",284
"20141214","1","20151212","Da","16767",285
"20141214","1","20151212","Da","319",286
"20141214","1","20151212","Da","16767",287
"20141214","1","20151212","Da","16767",288
"20141214","1","20151212","Da","16767",289
"20141214","1","20151212","Da","16767",290
"20141214","1","20151212","Da","16767",291
"20141214","1","20141224","Da","351",292
"20141227","2","20141231","Da","351",292
"20150103","3","20150411","Da","351",292
"20150414","4","20150430","Da","351",292
"20150502","5","20150530","Da","351",292
"20150602","6","20151129","Da","351",292
"20151202","7","20151212","Da","351",292
"20141214","1","20151212","Da","16767",293
"20150612","1","20150913","Da","383",294
"20141214","1","20151212","Da","895",295
"20141214","1","20151212","Da","16767",296
"20141214","1","20151212","Da","16767",297
"20141214","1","20151212","Da","16767",298
"20141214","1","20151212","Da","16767",299
"20141214","1","20151212","Da","16767",300
"20141214","1","20151212","Da","335",301
"20141214","1","20151212","Da","16767",302
"20141214","1","20151212","Da","16767",303
"20141214","1","20151212","Da","16767",304
"20150612","1","20150914","Da","383",305
"20141214","1","20151212","Da","16767",306
"20141214","1","20151212","Da","16767",307
"20141214","1","20151212","Da","16767",308
"20141214","1","20151212","Da","287",309
"20141214","1","20151212","Da","16767",310
"20141214","1","20141224","Da","799",311
"20141227","2","20141231","Da","799",311
"20150103","3","20150412","Da","799",311
"20150414","4","20150430","Da","799",311
"20150502","5","20150531","Da","799",311
"20150602","6","20151129","Da","799",311
"20151202","7","20151212","Da","799",311
"20141214","1","20151212","Da","16767",312
"20141214","1","20151212","Da","16767",313
"20141214","1","20151212","Da","16767",314
"20141214","1","20141219","Da","287",315
"20150105","2","20150130","Da","287",315
"20150209","3","20150410","Da","287",315
"20150420","4","20150619","Da","287",315
"20150914","5","20151212","Da","287",315
"20141214","1","20151212","Da","16767",316
"20141214","1","20151212","Da","287",317
"20141214","1","20151212","Da","319",318
"20141214","1","20151212","Da","16767",319
"20141214","1","20151212","Da","16767",320
"20141214","1","20151212","Da","16767",321
"20141214","1","20151212","Da","16767",322
"20141214","1","20151212","Da","319",323
"20141214","1","20151212","Da","16767",324
"20141214","1","20151212","Da","287",325
"20141214","1","20151212","Da","16767",326
"20141214","1","20151212","Da","16767",327
"20141214","1","20151212","Da","16767",328
"20141214","1","20151212","Da","16767",329
"20141214","1","20151212","Da","16767",330
"20141214","1","20151212","Da","16767",331
"20141214","1","20151212","Da","16767",332
"20141214","1","20151212","Da","799",333
